EAN;DESCRIPCION;CLASIFICACION;CATEGORIA;PLATAFORMA;Publisher
47875874374;CALL OF DUTY BLACK OPS 1&2 COMBO - FIRST STRIKE MAP - XB360;XB360;Software;XB360;ACTIVISION
884095175108;PS4 500GB UNCHARTED COLL + TLOU REMASTERED HDWR BUNDLE (LATAM);PS4;Hardware;PS4;SCEA
884095174361;PS4 500GB HDWR BUNDLE UNCHARTED COLL + DS4 (LATAM);PS4;Hardware;PS4;SCEA
47875870369;XBONE SKYLANDERS: TRAP TEAM STARTERS XBONE;XBONE;Software;XBONE;ACTIVISION
47875871199;PS3 SKYLANDERS: TRAP TEAM STARTERS PS3;PS3;Software;PS3;ACTIVISION
47875870451;WII U SKYLANDERS: TRAP TEAM STARTERS WII U;WIIU;Software;WIIU;ACTIVISION
47875870291;PS4 SKYLANDERS: TRAP TEAM STARTERS PS4;PS4;Software;PS4;ACTIVISION
47875872325;SKYLANDERS TRAP TEAM FLIP WRECK CHARACTER;OTHER;Software;OTHER;ACTIVISION
47875872318;SKYLANDERS TRAP TEAM FLING KONG CHARACTER;OTHER;Software;OTHER;ACTIVISION
47875849921;SKYLANDERS TRAP TEAM WALLOP CHARACTER;OTHER;Software;OTHER;ACTIVISION
47875870024;SKYLANDERS TRAP TEAM KRYPT KING CHARACTER;OTHER;Software;OTHER;ACTIVISION
47875849938;SKYLANDERS TRAP TEAM WILDFIRE CHARACTER;OTHER;Software;OTHER;ACTIVISION
47875870017;SKYLANDERS TRAP TEAM JAWBREAKER CHARACTER;OTHER;Software;OTHER;ACTIVISION
47875870000;SKYLANDERS TRAP TEAM GUSTO CHARACTER;OTHER;Software;OTHER;ACTIVISION
47875871632;SKYLANDERS TRAP TEAM BLASTERMIND CHARACTER;OTHER;Software;OTHER;ACTIVISION
47875871939;SKYLANDERS TRAP TEAM TUFF LUCK CHARACTER;OTHER;Software;OTHER;ACTIVISION
47875871922;SKYLANDERS TRAP TEAM KA BOOM CHARACTER;OTHER;Software;OTHER;ACTIVISION
47875871373;SKYLANDERS TRAP TEAM AIR TRAP ;OTHER;Software;OTHER;ACTIVISION
47875871397;SKYLANDERS TRAP TEAM EARTH TRAP ;OTHER;Software;OTHER;ACTIVISION
47875871403;SKYLANDERS TRAP TEAM FIRE TRAP ;OTHER;Software;OTHER;ACTIVISION
47875871410;SKYLANDERS TRAP TEAM LIFE TRAP ;OTHER;Software;OTHER;ACTIVISION
47875871441;SKYLANDERS TRAP TEAM TECH TRAP ;OTHER;Software;OTHER;ACTIVISION
47875871458;SKYLANDERS TRAP TEAM UNDEAD TRAP ;OTHER;Software;OTHER;ACTIVISION
47875871465;SKYLANDERS TRAP TEAM WATER TRAP ;OTHER;Software;OTHER;ACTIVISION
47875871434;SKYLANDERS TRAP TEAM MAGIC TRAP ;OTHER;Software;OTHER;ACTIVISION
47875871038;SKYLANDERS TRAP TEAM KAOS TRAP;OTHER;Software;OTHER;ACTIVISION
47875872080;SKYLANDERS TRAP TEAM MIRROR OF MYSTERY;OTHER;Software;OTHER;ACTIVISION
